lonlat,2019-04-02_07-30,2019-04-02_07-31
"116.315971,40.018347",20,20
"116.16399,39.924256",20,20
"116.166101,39.924253",20,20
"116.166494,39.924254",20,20
"116.166876,39.924281",20,20
"116.167729,39.924452",20,20
"116.542538,39.93856",20,20
"116.542567,39.938918",20,20
"116.542565,39.939329",20,20
"116.316075,40.037553",60,60
"116.316512,40.037587",20,20
"116.316958,40.037569",20,20
"116.22142,39.992244",20,20
"116.221485,39.992146",20,20
"116.221602,39.992025",20,20
"116.221939,39.991848",20,20
"116.222357,39.991795",20,20
"116.222474,39.991802",20,20
"116.222997,39.992996",20,20
"116.222764,39.993144",20,20
"116.222498,39.993224",20,20
"116.222262,39.993246",20,20
"116.222028,39.993227",20,20
"116.310635,40.036184",40,40
"116.312069,40.058086",20,20
"116.308108,40.057451",20,20
"116.297533,40.05411",20,20
"116.258174,40.047623",20,20
"116.258193,40.047485",20,20
"116.264413,40.0481",20,20
"116.269618,40.048809",20,20
"116.272971,40.049253",20,20
"116.273165,40.049289",20,20
"116.284498,40.05133",20,20
"116.284818,40.051404",20,20
"116.285064,40.051538",20,20
"116.286122,40.051636",20,20
"116.286832,40.05173",20,20
"116.291535,40.052687",20,20
"116.29642,40.053836",20,20
"116.323486,40.061486",20,20
"116.316195,40.017926",20,20
"116.3165,39.985206",20,20
"116.400516,39.870898",20,20
"116.400292,39.870883",20,20
"116.400138,39.870889",20,20
"116.348763,39.868619",60,60
"116.348838,39.868745",60,60
"116.348938,39.868842",60,60
"116.349074,39.868925",20,20
"116.34923,39.868967",20,20
"116.349403,39.868966",20,20
"116.349565,39.868917",20,20
"116.349693,39.868842",20,20
"116.349791,39.868728",20,20
"116.349831,39.868605",20,20
"116.349823,39.868471",20,20
"116.348482,39.866093",20,20
"116.348611,39.866333",20,20
"116.348743,39.866502",20,20
"116.34888,39.86663",20,20
"116.350441,39.867808",20,20
"116.350625,39.867919",20,20
"116.350784,39.867988",20,20
"116.35096,39.868046",20,20
"116.316012,39.867526",60,60
"116.316755,39.867572",60,60
"116.320035,39.867744",60,60
"116.321067,39.867798",20,20
"116.321183,39.867803",20,20
"116.348693,39.870797",20,20
"116.34954,39.869193",20,20
"116.349993,39.868886",20,20
"116.350523,39.86865",20,20
"116.348004,39.868128",20,20
"116.347789,39.868177",20,20
"116.34789,39.868953",20,20
"116.348059,39.868951",20,20
"116.348221,39.86891",20,20
"116.348301,39.866105",20,20
"116.349683,39.867457",20,20
"116.349029,39.870669",20,20
"116.346327,39.848346",20,20
"116.34863,39.870184",20,20
"116.34847,39.86987",20,20
"116.348114,39.869377",20,20
