time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1,盘古大观_北辰西路_NS_6,盘古大观_北辰西路_SN_3
2020/8/24,32,29,40,25,15,17,36,32,10,56,26,18,22,39
2020/8/25,30,37,32,30,17,18,37,21,14,67,26,19,34,29
2020/8/26,30,37,32,30,17,18,37,21,14,67,26,19,34,29
2020/8/27,30,37,32,30,17,18,37,21,14,67,26,19,34,29
2020/8/28,27,31,30,19,16,15,39,34,12,54,28,24,23,36
2020/8/29,30,28,46,37,21,23,35,15,51,58,26,32,52,39
2020/8/30,30,28,46,37,21,23,35,15,51,58,26,32,52,39
2020/8/31,30,28,46,37,21,23,35,15,51,58,26,32,52,39
2020/9/1,30,30,37,32,20,12,35,25,6,61,22,18,30,40
2020/9/2,38,32,33,20,15,29,37,19,8,59,26,18,28,38
2020/9/3,29,32,37,30,21,15,35,27,9,55,24,23,34,37
2020/9/4,29,32,37,30,21,15,35,27,9,55,24,23,34,37
2020/9/5,29,32,37,30,21,15,35,27,9,55,24,23,34,37
2020/9/6,26,30,40,29,28,39,40,37,56,56,30,40,39,35
2020/9/7,36,37,36,35,11,7,37,32,7,60,35,16,40,43
2020/9/8,29,31,34,29,22,17,42,23,5,48,16,17,36,40
2020/9/9,29,31,34,29,22,17,42,23,5,48,16,17,36,40
2020/9/10,30,24,35,31,17,18,36,24,7,57,30,20,22,35
2020/9/11,25,28,41,40,17,14,33,20,8,58,26,19,21,38
2020/9/12,23,27,34,36,19,24,35,41,45,33,35,31,41,26
2020/9/13,23,27,34,36,19,24,35,41,45,33,35,31,41,26
2020/9/14,23,27,34,36,19,24,35,41,45,33,35,31,41,26
2020/9/15,28,28,32,32,20,12,35,27,8,64,20,17,16,31
2020/9/16,31,34,34,29,44,18,33,27,8,49,16,26,25,37
2020/9/17,41,47,58,16,48,39,40,19,9,66,14,27,7,19
2020/9/18,34,33,35,44,13,18,39,30,6,60,31,20,22,39
2020/9/19,19,26,28,36,24,33,31,13,40,50,34,30,40,35
2020/9/20,19,26,28,36,24,33,31,13,40,50,34,30,40,35
2020/9/21,19,26,28,36,24,33,31,13,40,50,34,30,40,35
2020/9/22,25,26,38,39,18,16,36,18,8,46,23,22,39,42
2020/9/23,24,25,26,15,16,12,35,17,7,41,19,21,14,36
2020/9/24,40,28,36,28,19,20,35,23,10,53,28,21,29,40
2020/9/25,31,33,36,27,15,20,37,22,8,53,24,24,28,30
2020/9/26,28,31,31,43,26,29,35,33,48,48,30,27,40,36
2020/9/27,41,32,36,49,22,14,32,25,6,58,17,24,24,31
2020/9/28,36,31,28,29,16,17,34,21,6,53,26,18,32,33
2020/9/29,27,26,34,29,9,15,29,24,9,53,16,20,20,39
2020/9/30,29,26,30,44,23,20,37,13,11,46,37,23,31,33
